"Table name: county_natality Last updated: Nov 14, 2022 7:31 PM",,,,,,,,,
Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
1/1/2018,"Calhoun County, AL",01015,1265,26.67,38.11,38.25,3168.14,28.85,10.45
1/1/2018,"Tulsa County, OK",40143,8933,28.13,38.18,38.25,3243.39,27.58,11.04
1/1/2018,"Carroll County, GA",13045,1540,27.2,38.5,38.5,3253.35,27.98,10.75
1/1/2018,"Saginaw County, MI",26145,2182,27.41,38.75,38.5,3226.9,28.85,11.58
1/1/2018,"Hillsborough County, FL",12057,17126,28.97,38.41,38.5,3230.36,26.75,10.64
1/1/2018,"Lake County, IN",18089,5785,28.12,38.41,38.5,3243.64,28.19,10.72
1/1/2018,"St. Tammany Parish, LA",22103,2932,29.12,38.31,38.5,3263.36,27,11.29
1/1/2018,"Osceola County, FL",12097,4437,28.64,38.3,38.5,3231.13,27.08,11.4
1/1/2018,"Sarpy County, NE",31153,2386,29.43,38.3,38.5,3344.03,26.98,12.4
1/1/2018,"Kane County, IL",17089,6337,29.63,38.29,38.5,3288.64,27.56,11.43
1/1/2018,"San Juan County, NM",35045,1444,27.5,38.62,38.5,3236.43,28.31,9.67
1/1/2018,"Douglas County, KS",20045,1116,29.43,38.44,38.5,3277.79,27.26,11.73
1/1/2018,"Denton County, TX",48121,9857,30.03,38.44,38.5,3291.52,26.38,10.85
1/1/2018,"Hays County, TX",48209,2572,29.41,38.35,38.5,3307.68,27.08,10.98
1/1/2018,"Davis County, UT",49011,5302,29.18,38.34,38.5,3277.75,26.28,11.4
1/1/2018,"Manatee County, FL",12081,3452,28.56,38.5,38.75,3293.64,27.28,11.04
1/1/2018,"New Haven County, CT",09009,8519,30.06,38.57,38.75,3280.8,27.47,13.18
1/1/2018,"San Mateo County, CA",06081,8330,32.38,38.65,38.75,3292.79,25.1,11.57
1/1/2018,"San Luis Obispo County, CA",06079,2445,30.08,38.64,38.75,3354.12,26.48,12.84
1/1/2018,"Canyon County, ID",16027,2918,27.71,38.47,38.75,3302.05,27.78,10.79
1/1/2018,"Cherokee County, GA",13057,2562,29.75,38.46,38.75,3319.59,26.94,11.79
1/1/2018,"Stanislaus County, CA",06099,7364,28.52,38.6,38.75,3334.05,28.31,13.14
1/1/2018,"Monterey County, CA",06053,5895,28.87,38.68,38.75,3318.25,27.98,12.25
1/1/2018,"Orange County, NY",36071,5065,29.74,38.83,39,3305.78,26.85,9.79
1/1/2018,"Marin County, CA",06041,2127,33.34,38.89,39,3373.09,24.97,10.28
1/1/2018,"Rapides Parish, LA",22079,1717,26.85,38.07,35.5,3153.45,28.03,10.82
1/1/2018,"Bossier Parish, LA",22015,1693,27.67,37.95,38.08,3181.81,27.55,11.62
1/1/2018,"Lexington County, SC",45063,3224,28.41,38.29,38.33,3263.56,28.38,11.41
1/1/2018,"Henry County, GA",13151,2705,28.65,38.11,38.33,3158.09,28.03,10.65
